"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR320D1",1.73620453966292,13.7091961673988,1.41092954754186,0.158713902869758,0.398625857411806,-5.15362184872931
"ZBED5-AS1",-42.1786114230508,1281.06480251254,-1.41033265460229,0.158889929955783,0.398971012676454,-5.15442106450624
"SHC4",4.93674119333023,85.5874247200585,1.41032007802537,0.158893640451261,0.398971012676454,-5.15443790042382
"NQO2",-27.7216621588012,1003.28673793402,-1.41030266258141,0.158898778676961,0.398971012676454,-5.15446121375325
"SMIM22",69.1302075100784,2150.71736662487,1.41018324171175,0.158934015820995,0.399006129030724,-5.15462106978837
"FPR3",-35.3729608973794,238.96947291596,-1.41014804768907,0.15894440154221,0.399006129030724,-5.15466817772176
"FLJ46906",5.69243426865958,138.707112751894,1.40994010488491,0.159005775762927,0.399120478440051,-5.15494648965108
"GPSM3",-48.7459641871774,1164.04884511317,-1.40977349187427,0.15905496448276,0.399174061457695,-5.15516945609026
"LAMA2",-16.3508944883631,302.765074242773,-1.40976059300948,0.159058773061818,0.399174061457695,-5.15518671663884
"ATP11B",-47.6918974355149,3113.59640966284,-1.40959142748741,0.15910872806516,0.399253713028872,-5.15541307006882
"PTRHD1",19.2448401459666,970.422489150061,1.40954592039666,0.159122168453824,0.399253713028872,-5.15547395662737
"PDHX",19.0610521237575,1098.08344053315,1.40927022227667,0.159203613510938,0.399401507431643,-5.15584278724978
"PTGS2",-232.572009701249,1484.82900617863,-1.40923933457055,0.159212740137376,0.399401507431643,-5.15588410454363
"SLC5A8",406.916033671714,8219.08115098847,1.40908892372962,0.159257188847024,0.399473282764254,-5.15608529046308
"ZNF219",49.6595681418698,2045.17745904778,1.40888369957128,0.159317850908373,0.399585708592304,-5.15635975892519
"SMAP2",-112.191086807531,4147.76154825931,-1.40849316205251,0.159433338000341,0.399835605261544,-5.15688195722382
"C19orf35",-3.06573232739144,20.9599777474445,-1.40832811383279,0.15948216400828,0.399910900628355,-5.15710260441116
"CXCL6",-175.225758124481,1191.64187790067,-1.408284491708,0.159495070580449,0.399910900628355,-5.15716091700855
"MIR6874",0.0164084604992488,0.0104116993959262,1.40806359294506,0.159560440531209,0.399997314657556,-5.15745617952025
"ZNF214",-13.0334173843229,392.600727764004,-1.40799200137441,0.159581630780735,0.399997314657556,-5.15755186192481
"ZNF330",9.19410363973907,832.529445820734,1.40798183309619,0.159584640642589,0.399997314657556,-5.15756545147485
"AMDHD2",-8.33212488430541,471.265343147761,-1.40795370808299,0.159592966013069,0.399997314657556,-5.15760303906829
"PAPPA",-7.76678465242435,61.0243887659235,-1.40769509908371,0.159669533079032,0.400149458756632,-5.15794862134378
"DCDC2",-16.2985379237175,326.505504129354,-1.40753420653697,0.159717183018161,0.400211166586533,-5.15816359212224
"DEPDC1-AS1",-0.118952879671542,0.806332976418863,-1.40746807919895,0.159736770416443,0.400211166586533,-5.15825193869983
"LOC101928851",-0.0393064284437233,0.105662162442758,-1.40745125254591,0.159741754883968,0.400211166586533,-5.15827441856525
